"sep=	"
Shimmer_9D70_TimestampSync_Unix_CAL	Shimmer_9D70_EMG_CH2_24BIT_CAL	
ms	mV	
1.6994525390037876E12	1.3777635150468566	
1.699452539004764E12	1.3774029069029776	
1.6994525390057402E12	1.3778837177614829	
1.6994525390067168E12	1.378725136763867	
1.699452539007693E12	1.3814897992002726	
1.6994525390086694E12	1.381610001914899	
1.6994525390096458E12	1.377162501473725	
1.699452539010622E12	1.3800473666247566	
1.6994525390115984E12	1.381610001914899	
1.699452539012575E12	1.378725136763867	
1.6994525390135513E12	1.380888785627141	
1.6994525390145276E12	1.3776433123322303	
1.699452539015504E12	1.3770422987590987	
1.6994525390164802E12	1.3822110154880305	
1.6994525390174565E12	1.3830524344904147	
1.699452539018433E12	1.3814897992002726	
1.6994525390194094E12	1.3856968942121937	
1.6994525390203857E12	1.3811291910563936	
1.699452539021362E12	1.3830524344904147	
1.6994525390223384E12	1.3832928399196673	
1.6994525390233147E12	1.3840140562074252	
1.6994525390242913E12	1.38124939377102	
1.6994525390252676E12	1.3820908127734042	
1.699452539026244E12	1.3805281774832618	
1.6994525390272202E12	1.3806483801978884	
1.6994525390281965E12	1.3807685829125147	
1.6994525390291729E12	1.3842544616366779	
1.6994525390301494E12	1.3834130426342937	
1.6994525390311257E12	1.3802877720540092	
1.699452539032102E12	1.3823312182026568	
1.6994525390330784E12	1.379085744907746	
1.6994525390340547E12	1.3832928399196673	
1.699452539035031E12	1.3783645286199881	
1.6994525390360076E12	1.3844948670659305	
1.699452539036984E12	1.385456488782941	
1.6994525390379602E12	1.3834130426342937	
1.6994525390389365E12	1.3840140562074252	
1.6994525390399128E12	1.3806483801978884	
1.6994525390408892E12	1.3813695964856463	
1.6994525390418657E12	1.3843746643513042	
1.699452539042842E12	1.3844948670659305	
1.6994525390438184E12	1.3852160833536884	
1.6994525390447947E12	1.383893853492799	
1.699452539045771E12	1.3799271639101303	
1.6994525390467473E12	1.379085744907746	
1.6994525390477239E12	1.3841342589220516	
1.6994525390487002E12	1.381610001914899	
1.6994525390496765E12	1.3830524344904147	
1.6994525390506528E12	1.3804079747686355	
1.6994525390516292E12	1.3788453394784934	
1.6994525390526055E12	1.3796867584808776	
1.699452539053582E12	1.3823312182026568	
1.6994525390545583E12	1.3810089883417673	
1.6994525390555347E12	1.3856968942121937	
1.699452539056511E12	1.3844948670659305	
1.6994525390574873E12	1.38353324534892	
1.6994525390584636E12	1.3830524344904147	
1.6994525390594402E12	1.385095880639062	
1.6994525390604165E12	1.3829322317757884	
1.6994525390613928E12	1.3807685829125147	
1.6994525390623691E12	1.3823312182026568	
1.6994525390633455E12	1.3848554752098095	
