"sep=	"
Shimmer_9D70_TimestampSync_Unix_CAL	Shimmer_9D70_EMG_CH2_24BIT_CAL	
ms	mV	
1.6994526023251965E12	2.4801426108848186	
1.699452602326173E12	2.464275852554145	
1.6994526023271497E12	2.4821860570334664	
1.6994526023281262E12	2.573660322864094	
1.6994526023291028E12	2.6543163443783535	
1.6994526023300793E12	2.7618977739689083	
1.699452602331056E12	2.7582916925301184	
1.6994526023320325E12	2.83594264617872	
1.699452602333009E12	2.967925226838417	
1.6994526023339856E12	3.051345910789082	
1.6994526023349622E12	3.1078411866634514	
1.6994526023359387E12	3.075867264572851	
1.6994526023369153E12	3.064688412112603	
1.6994526023378918E12	3.0817571975895404	
1.6994526023388684E12	3.0652894256857346	
1.699452602339845E12	3.102912875363772	
1.6994526023408215E12	3.087767333320856	
1.699452602341798E12	3.139093892466294	
1.6994526023427747E12	3.374330604989998	
1.699452602343751E12	3.0395660447557025	
1.6994526023447275E12	2.801925277939472	
1.699452602345704E12	2.74747344821375	
1.6994526023466807E12	2.717663174986423	
1.6994526023476572E12	2.668860872848138	
1.6994526023486338E12	2.6538355335198482	
1.6994526023496104E12	2.6749912112940804	
1.699452602350587E12	2.6335212747480004	
1.6994526023515635E12	2.5669289708450203	
1.69945260235254E12	2.7205480401374547	
1.6994526023535166E12	2.8954429899187475	
1.6994526023544932E12	2.9566261716635434	
1.6994526023554697E12	2.9800657010156755	
1.6994526023564463E12	3.0224972592787656	
1.6994526023574229E12	3.0484610456380503	
1.6994526023583994E12	3.085844089886835	
1.699452602359376E12	3.144743420053731	
1.6994526023603525E12	3.1442626091952257	
1.699452602361329E12	3.062404560534703	
1.6994526023623057E12	3.0515863162183345	
1.6994526023632822E12	3.085122873599077	
1.6994526023642588E12	3.083560238308935	
1.6994526023652354E12	3.080434967728651	
1.699452602366212E12	3.076348075431356	
1.6994526023671885E12	3.068534898980645	
1.699452602368165E12	3.0414892881897235	
1.6994526023691416E12	3.0156457045450655	
1.6994526023701182E12	2.9696080648431855	
1.6994526023710947E12	2.8364234570372253	
1.6994526023720713E12	2.7480744617868815	
1.6994526023730479E12	2.6955458754951804	
1.6994526023740244E12	2.7626189902566662	
1.699452602375001E12	2.782332235455382	
1.6994526023759775E12	2.7768029105825716	
1.699452602376954E12	2.8207971041358038	
1.6994526023779307E12	2.8645508922597838	
1.6994526023789072E12	2.9283785337263586	
1.6994526023798838E12	3.0001395543582703	
1.6994526023808604E12	3.0337963144536393	
1.699452602381837E12	3.041729693618976	
1.6994526023828135E12	3.0383640176094393	
1.69945260238379E12	3.0660106419734925	
1.6994526023847666E12	3.0712995614170504	
1.6994526023857432E12	3.026103340717555	
1.6994526023867197E12	3.0021830005069177	
1.6994526023876963E12	2.9156370459759686	
1.6994526023886729E12	2.9156370459759686	
1.6994526023896494E12	2.8598629863893574	
1.699452602390626E12	2.755527030093713	
1.6994526023916025E12	2.750117907935529	
1.699452602392579E12	2.7447087857773447	
1.6994526023935557E12	2.793871696059509	
1.6994526023945322E12	2.859622580960105	
1.6994526023955088E12	2.9139542079712	
1.6994526023964854E12	2.930061371731127	
1.699452602397462E12	2.9528998875101276	
1.6994526023984385E12	3.0473792212064135	
1.699452602399415E12	3.017328542549834	
1.6994526024003916E12	2.9730939435673487	
1.6994526024013682E12	2.984032390598344	
1.6994526024023447E12	2.7901454119060927	
1.6994526024033213E12	2.6989115515047177	
1.6994526024042979E12	2.77163419385364	
1.6994526024052744E12	2.893038935626221	
1.699452602406251E12	3.0047072575140703	
1.6994526024072275E12	3.0878875360354825	
1.699452602408204E12	3.1106058490998567	
1.6994526024091807E12	3.1204624716992146	
1.6994526024101572E12	3.121784701560104	
1.6994526024111338E12	3.102191659076014	
1.6994526024121104E12	3.0633661822517135	
1.699452602413087E12	3.0625247632493293	
1.6994526024140635E12	3.174193085137179	
1.69945260241504E12	3.1310403105863305	
1.6994526024160166E12	3.0349983415999024	
1.6994526024169932E12	3.0101163796722545	
1.6994526024179697E12	2.994009215912328	
1.6994526024189463E12	2.976940430435391	
1.6994526024199229E12	2.9003713012184265	
1.6994526024208994E12	2.8697196089887154	
1.699452602421876E12	2.8464002823512096	
1.6994526024228525E12	2.8108202788218195	
1.699452602423829E12	2.859622580960105	
1.6994526024248057E12	3.4506593287777103	
1.6994526024257822E12	3.4424855441831204	
1.6994526024267588E12	3.242227821615675	
1.6994526024277354E12	3.166019300542589	
1.699452602428712E12	3.007712325379728	
1.6994526024296885E12	2.8233213611429564	
1.699452602430665E12	2.6569608041001325	
1.6994526024316416E12	2.57967045859541	
1.6994526024326182E12	2.5117559248315406	
1.6994526024335947E12	2.4052563196726227	
1.699452602434571E12	2.4676415285636817	
1.6994526024355476E12	2.7760816942948137	
1.6994526024365242E12	2.9276573174386007	
1.6994526024375007E12	2.944846305630164	
1.6994526024384773E12	2.9341482640284218	
1.6994526024394539E12	2.925854276719206	
1.6994526024404304E12	2.915396640546716	
1.699452602441407E12	2.861545824394126	
1.6994526024423835E12	2.8528912289410306	
1.69945260244336E12	2.72788040572966	
1.6994526024443367E12	2.624626273865653	
1.6994526024453132E12	2.561519848686836	
1.6994526024462898E12	2.5598370106820676	
1.6994526024472664E12	2.651070871083443	
1.699452602448243E12	2.715018715264644	
1.6994526024492195E12	2.8044495349466247	
1.699452602450196E12	2.8946015709163633	
1.6994526024511726E12	2.9033763690840844	
1.6994526024521492E12	3.013962866540297	
1.6994526024531257E12	3.1907810597556105	
1.6994526024541023E12	3.252925863217417	
1.6994526024550789E12	3.2508824170687696	
1.6994526024560554E12	3.2314095772993063	
1.699452602457032E12	3.2046043719376374	
1.6994526024580085E12	3.1738324769933	
1.699452602458985E12	3.0656500338296135	
1.6994526024599617E12	3.0462973967747766	
1.6994526024609382E12	3.1662597059718416	
1.6994526024619148E12	3.2443914704789485	
1.6994526024628914E12	3.210854913098206	
1.699452602463868E12	3.087286522462351	
1.6994526024648445E12	2.9234502224266796	
1.699452602465821E12	2.882461096739105	
1.6994526024667976E12	2.8674357574108154	
1.6994526024677742E12	2.863829675972026	
1.6994526024687507E12	2.8632286623988943	
1.6994526024697273E12	2.8603437972478627	
1.6994526024707039E12	2.9188825192708796	
1.6994526024716804E12	3.0096355688137493	
1.699452602472657E12	3.066130844688119	
1.6994526024736335E12	3.110365443670604	
1.69945260247461E12	3.1184190255505673	
1.6994526024755867E12	3.097143145061709	
1.6994526024765632E12	3.0660106419734925	
1.6994526024775398E12	3.075506656428972	
1.6994526024785164E12	3.0779107107214982	
1.699452602479493E12	3.0550721949424977	
1.6994526024804695E12	2.9911243507612966	
1.699452602481446E12	2.8527710262264043	
1.6994526024824226E12	2.7439875694895868	
1.6994526024833992E12	2.697589321643828	
1.6994526024843757E12	2.7052822953799125	
1.6994526024853523E12	2.668860872848138	
1.6994526024863289E12	2.6747508058648277	
1.6994526024873054E12	2.7234329052884862	
1.699452602488282E12	2.7930302770571247	
1.6994526024892585E12	2.8300527131620306	
1.699452602490235E12	2.9099875183885318	
1.6994526024912117E12	2.9408796160474955	
1.6994526024921882E12	2.9745363761428645	
1.6994526024931648E12	3.015886109974318	
1.6994526024941414E12	3.0712995614170504	
1.699452602495118E12	3.1158947685434146	
1.6994526024960945E12	3.1303190942985726	
1.699452602497071E12	3.103273483507651	
1.6994526024980476E12	3.0410084773312183	
1.6994526024990242E12	2.904698598944974	
1.6994526025000007E12	2.820556698706551	
1.6994526025009773E12	2.768268517844103	
1.6994526025019539E12	2.7643018282614347	
1.6994526025029304E12	2.8649115004036627	
1.699452602503907E12	2.8498861610753727	
1.6994526025048835E12	2.85192960722402	
1.69945260250586E12	2.8859469754632685	
1.6994526025068367E12	2.8471214986389675	
1.6994526025078132E12	2.8207971041358038	
1.6994526025087898E12	2.8649115004036627	
1.6994526025097664E12	2.85192960722402	
1.699452602510743E12	2.9710504974187013	
1.6994526025117195E12	3.2992039083485496	
1.699452602512696E12	3.2380207266037537	
1.6994526025136726E12	3.1643364625378205	
1.6994526025146492E12	3.113731119680141	
1.6994526025156257E12	3.0274255705784445	
1.6994526025166023E12	2.964078739970375	
